	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_0	1341	293	1823	957	1067	685	2144	475	360	1669	90	553	87	1420	1469	1459	1788	1418	802	1912	1598	1155	111	1675	1036	312
OTU_1	388	1823	1145	372	776	974	804	987	950	838	376	1675	1863	1174	1137	248	360	742	1100	1487	1187	1574	2138	1125	1353	523
OTU_2	1744	1379	960	885	479	1474	550	715	237	861	910	52	1197	103	432	311	1042	1767	243	1485	566	553	733	876	1233	1032
OTU_3	448	212	1976	1494	99	1695	451	1732	1745	1107	1972	344	557	1960	1298	147	1750	23	1566	689	117	1682	764	11	1256	955
OTU_4	582	138	1364	1331	1525	583	320	1233	120	1214	566	708	2014	311	1743	418	66	326	1973	537	1018	385	409	774	954	1665
OTU_5	358	327	1100	51	1216	1696	1449	67	730	585	222	1472	1056	106	1464	1851	1572	1288	2003	1476	1759	13	1180	1090	1395	1380
OTU_6	148	1327	417	1634	450	1716	1222	1091	1488	1262	1268	1538	1826	1671	1155	1331	896	150	57	623	768	1583	1832	1837	262	547
OTU_7	1776	1345	1622	1820	511	441	1533	1722	1620	43	112	1521	1880	231	75	1528	1576	1399	457	509	1593	432	1456	14	1238	24
OTU_8	1813	1088	793	1742	1695	1383	1461	516	1364	1617	687	1224	571	1263	1867	2009	1928	97	1092	1595	305	904	556	1588	11	535
OTU_9	881	879	1482	1488	841	1879	331	1264	1866	888	1614	783	1700	740	1912	818	1183	622	1643	192	348	137	346	745	535	751
OTU_10	1659	836	127	463	111	1580	318	1282	475	1064	52	476	395	1353	794	1183	2067	1734	1507	640	1103	874	876	598	262	1727
OTU_11	1698	1716	0	1610	928	484	286	781	1039	1304	696	101	1705	0	1831	435	638	1713	1996	1108	1659	182	1935	687	1648	106
OTU_12	1931	352	788	401	1626	2045	530	784	1407	5	635	109	801	1259	56	1779	1911	1751	649	1669	1842	674	453	1603	1473	1155
OTU_13	1062	1116	201	527	750	811	2015	935	1553	1697	1890	640	1531	1489	1734	540	241	416	282	2166	1425	1568	1025	1376	1311	638
OTU_14	12	802	60	377	336	710	43	2020	89	1638	1292	1437	407	1155	808	1165	1468	426	1269	983	183	1463	661	1470	1572	1173
OTU_15	713	1889	1045	1320	649	1312	2279	888	1095	1899	868	392	521	1892	1236	349	932	641	96	1557	1475	1799	1938	1816	1300	1738
OTU_16	763	1462	826	1903	51	82	655	1843	655	746	1251	100	317	1202	1518	783	129	1531	1710	1014	885	922	647	921	1509	865
OTU_17	1766	230	1639	182	1306	797	1347	1755	231	116	649	117	180	1886	49	213	1743	16	1526	1135	1655	692	1475	1027	850	731
OTU_18	790	316	607	405	920	1133	2210	496	1936	635	937	1886	320	1955	300	1576	1692	1026	1365	2008	418	580	855	251	261	50
OTU_19	400	0	1091	774	735	1310	1384	191	1825	1248	299	503	690	1147	1330	421	1372	573	1374	1439	902	662	1723	24	1682	238
OTU_20	178	772	1723	459	493	636	475	1033	1237	1032	1977	1395	1064	564	661	1038	762	1387	276	1057	1722	923	831	357	46	482
OTU_21	983	1563	365	1271	1341	1541	206	677	305	1828	794	1576	1408	1155	1905	1802	197	727	1598	388	1478	1486	1315	496	1286	1341
OTU_22	1633	1532	1221	1014	611	1783	250	1966	1327	1682	1466	734	1241	1800	1197	1021	1923	112	807	1533	667	57	1129	10	1590	589
OTU_23	1308	1614	1206	1280	1138	2079	1781	1723	848	917	719	91	1894	1714	747	246	441	1012	1630	916	1831	1559	102	768	1302	1655
OTU_24	1586	786	1108	876	389	253	982	822	837	1731	1723	169	1838	1146	1290	798	1468	1631	1850	1337	1667	1753	98	999	11	1149
OTU_25	1637	487	1709	138	1713	1547	1734	1407	1659	1138	154	1761	1819	1489	1653	1354	1716	439	770	25	384	1770	1361	365	999	946
OTU_26	958	546	1645	137	907	1365	2050	503	1859	1123	843	657	1602	328	544	1866	1731	966	1935	1748	118	861	301	925	223	1471
OTU_27	427	1803	774	1010	802	1873	797	1562	122	457	2143	1012	20	837	1628	803	136	873	790	90	992	867	163	1629	1301	1699
OTU_28	234	1415	1101	51	625	1496	508	1476	1059	355	69	1648	79	1262	503	352	154	618	230	1867	1333	708	1361	1810	1575	1182
