	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
OTU_0	2438	501	3104	1649	1830	1169	3673	814	594	2828	181	935	142	2456	2469	2557	3146	2552	1437	3342	2778	1994	169	2910	1781	504
OTU_1	663	3085	2059	644	1379	1692	1390	1666	1686	1452	671	2920	3321	1980	1946	430	613	1333	1893	2527	2002	2651	3780	1976	2375	906
OTU_2	2929	2363	1715	1514	795	2501	958	1255	398	1471	1616	96	2111	150	751	566	1858	3042	420	2648	984	949	1288	1503	2111	1826
OTU_3	790	381	3418	2664	146	2982	772	3188	3075	1992	3397	622	1009	3409	2273	270	2979	55	2752	1187	191	2914	1315	22	2194	1661
OTU_4	980	250	2350	2325	2712	966	601	2089	191	2099	972	1164	3404	535	3039	737	118	591	3478	927	1778	683	765	1310	1620	2861
OTU_5	644	568	1934	111	2077	2982	2564	94	1222	1001	378	2617	1842	190	2552	3232	2629	2308	3457	2624	3084	27	2037	1923	2456	2348
OTU_6	278	2373	771	2763	783	2959	2138	1911	2553	2297	2251	2722	3068	2914	2122	2359	1584	267	98	1094	1278	2754	3168	3100	463	980
OTU_7	3140	2348	2775	3264	901	764	2687	2959	2798	81	213	2610	3313	386	123	2675	2682	2413	762	881	2801	785	2547	20	2154	35
OTU_8	3174	1895	1393	2999	2917	2389	2597	920	2322	2838	1138	2083	967	2219	3220	3549	3403	191	1914	2711	528	1582	971	2722	18	913
OTU_9	1479	1561	2631	2606	1426	3299	554	2149	3316	1512	2822	1393	2913	1246	3314	1369	2139	1032	2820	332	648	248	589	1240	930	1255
OTU_10	2922	1429	216	826	199	2669	515	2235	798	1833	105	841	721	2333	1431	2111	3588	3029	2589	1154	1863	1550	1532	1022	463	3010
OTU_11	2899	3006	3	2831	1634	836	497	1341	1814	2249	1225	179	2984	2	3171	770	1082	3098	3498	1967	2937	338	3424	1216	2793	195
OTU_12	3317	638	1367	686	2861	3600	881	1349	2479	8	1087	171	1410	2147	89	3123	3332	2996	1131	2845	3188	1207	802	2821	2667	1973
OTU_13	1977	1968	352	922	1318	1383	3524	1605	2656	2923	3252	1059	2738	2633	3097	895	441	742	444	3853	2430	2756	1792	2411	2198	1050
OTU_14	13	1411	112	683	582	1204	67	3603	153	2903	2226	2534	673	2001	1343	2004	2537	731	2213	1723	314	2642	1163	2479	2760	2004
OTU_15	1212	3217	1839	2390	1182	2262	3985	1512	1885	3289	1537	717	922	3313	2267	624	1624	1096	165	2706	2572	3202	3445	3165	2185	3030
OTU_16	1305	2462	1475	3343	86	161	1229	3216	1147	1321	2195	182	529	2039	2575	1344	236	2615	2933	1731	1519	1653	1106	1634	2601	1442
OTU_17	3017	393	2838	336	2268	1345	2330	3149	402	195	1079	198	335	3297	73	376	3055	32	2624	1958	2999	1184	2602	1743	1426	1300
OTU_18	1430	527	1000	776	1661	1964	3858	893	3395	1119	1584	3327	600	3454	524	2703	2941	1777	2402	3596	730	1046	1511	422	446	94
OTU_19	665	0	1880	1364	1214	2254	2327	324	3117	2203	513	864	1229	2009	2350	730	2386	1040	2290	2559	1591	1166	3054	37	2878	390
OTU_20	345	1314	2972	764	900	1135	809	1841	2190	1806	3414	2448	1866	971	1132	1798	1347	2488	494	1841	2945	1534	1435	674	77	894
OTU_21	1733	2684	606	2098	2272	2731	383	1176	545	3199	1346	2782	2426	1971	3368	3175	366	1297	2834	682	2543	2612	2290	863	2277	2359
OTU_22	2790	2785	2179	1776	1057	3097	482	3400	2274	3025	2533	1272	2220	3059	2129	1837	3408	221	1456	2557	1149	83	2006	22	2783	964
OTU_23	2171	2831	2034	2143	2007	3663	3067	3013	1467	1554	1315	135	3293	2869	1312	429	751	1747	2789	1598	3184	2775	190	1353	2272	2926
OTU_24	2877	1419	1940	1500	702	424	1699	1434	1508	2956	2978	302	3313	1966	2231	1407	2509	2854	3272	2380	2892	3165	174	1820	12	2012
OTU_25	2827	869	2913	242	2942	2725	2910	2397	3010	1966	248	2949	3185	2606	2942	2383	2939	795	1294	41	697	2953	2355	633	1743	1635
OTU_26	1661	947	2849	222	1537	2404	3509	871	3247	1976	1439	1118	2800	561	911	3282	3010	1718	3377	3035	218	1619	530	1631	379	2581
OTU_27	737	3151	1299	1790	1381	3328	1335	2728	209	766	3685	1761	41	1531	2736	1370	234	1510	1320	150	1806	1494	277	2822	2161	2929
OTU_28	405	2506	1891	85	1121	2582	859	2597	1860	628	147	2892	140	2196	910	581	246	1061	422	3218	2336	1216	2333	3083	2817	2110
OTU_29	3060	522	1312	1517	2915	823	862	1956	2099	2532	2659	3104	2574	2316	2521	610	1759	1316	1674	2547	3000	3060	3725	3014	2357	747
OTU_30	2357	2371	801	2916	1720	3091	2794	1302	388	1218	881	1023	3143	2321	2597	306	1469	1965	95	2464	3027	2983	243	2352	1732	2375
OTU_31	955	2185	790	2254	1783	2539	96	2095	3025	2580	342	2004	3439	534	1816	3354	2622	562	598	2090	3104	2010	2791	1174	2676	45
OTU_32	823	2261	1480	2990	561	375	1118	424	734	2423	2467	993	3493	848	1762	1808	1820	1494	476	1697	1540	802	663	2816	2291	2175
OTU_33	2859	858	1014	1726	651	103	3504	14	147	2066	2063	1683	3441	3288	1256	1475	1843	462	3011	1237	449	1522	1741	1731	2452	1967
OTU_34	1031	2783	130	631	3207	953	2736	395	906	80	66	2429	942	2270	2570	1222	2832	3191	897	1000	2386	631	807	2325	592	2225
OTU_35	2341	3069	1963	736	1247	1532	3366	3338	2074	507	2368	1576	1495	1718	1262	3155	1518	3051	1119	318	1549	588	1139	1231	3343	2028
OTU_36	1681	1961	77	174	2552	78	1978	365	3410	2693	3510	1427	43	2109	576	2924	1756	2072	2773	1936	339	3294	2675	1075	571	2853
OTU_37	741	760	1006	1682	1622	543	2282	2467	1083	1840	1232	404	3345	2737	302	1160	766	2754	2001	228	207	503	1307	1872	1644	856
OTU_38	1664	1159	3268	1702	1094	2408	3434	278	2094	2452	1433	2059	656	1221	2523	120	843	2142	2408	1401	3246	669	55	1871	543	2186
OTU_39	3355	528	3203	2238	1909	2369	1790	2247	365	2337	2149	696	199	3014	2840	2494	917	1139	8	435	2184	2300	1875	1481	2672	2781
OTU_40	1721	3197	3182	2866	2114	3086	2227	434	415	791	2234	2890	573	2440	784	1883	2790	1642	3499	442	2292	511	1142	139	3422	2054
OTU_41	2999	1528	394	222	2686	310	876	2642	295	628	1641	3143	778	3474	2073	1388	807	3160	2289	1998	1496	1366	782	1637	2456	2449
OTU_42	2783	2908	3184	503	510	1437	2885	1594	1449	2976	704	2015	2616	2397	1151	2556	3251	3251	276	2397	2555	3125	3324	2658	385	1161
OTU_43	549	483	1239	2533	1972	113	3666	1715	1911	1819	665	2313	2703	394	2561	896	2634	1689	2593	1196	3204	2062	1429	2905	1088	1379
OTU_44	985	1426	2108	2960	1948	2052	2981	3659	1877	199	2291	2404	801	2917	2240	1742	3560	120	2539	3012	2825	2373	3623	1523	1661	1191
OTU_45	237	1979	3298	707	1668	2016	321	1710	1739	2650	3167	471	464	2533	885	933	1720	1826	3045	2633	3031	1563	1736	1135	1301	2377
OTU_46	1924	2369	1088	449	2940	993	3639	267	981	93	1059	1671	1423	988	3144	3598	622	782	323	596	1969	999	2600	115	2425	2383
OTU_47	1539	507	1340	1208	1570	272	2	3339	7	1061	2219	2477	2776	1311	1225	2963	430	1674	135	2696	925	2262	2128	3205	1660	1422
OTU_48	1280	3258	3452	354	2925	407	526	459	1471	2247	1878	3085	1570	182	1943	392	646	3113	1945	947	1384	2265	2207	1961	3366	141
OTU_49	2199	1314	915	2810	1279	2717	3824	340	800	1720	2879	3090	2874	3197	1493	1226	943	1841	3401	721	1663	1717	583	3154	3114	1945
OTU_50	2954	2596	1439	2949	2398	820	499	1588	332	214	1153	2769	3116	1584	701	695	1587	3227	1615	3226	870	639	204	2527	1634	2929
OTU_51	369	145	639	1591	1035	2873	1935	314	2017	310	477	2254	3190	3001	2244	2399	2651	1200	165	1647	264	3055	3602	1671	3251	1125
OTU_52	2421	935	3219	290	3020	635	1087	3492	2475	2196	1035	1060	164	2520	2981	859	2382	428	1741	1921	920	1961	1280	2839	3280	1712
OTU_53	2477	651	103	2993	2236	399	2905	1727	3446	1676	1928	2997	808	2954	1480	621	462	807	3073	412	1718	1010	3708	3133	1610	1283
OTU_54	439	2746	1315	915	2334	2553	3243	1251	2402	2429	216	578	124	1848	1284	1584	2504	1910	3505	1140	979	1487	2962	97	2373	1754
OTU_55	3168	1031	895	3277	337	2010	132	1855	3146	1680	2318	1541	377	2490	1812	844	3399	2210	1280	2612	2231	2604	3080	1204	1775	1260
OTU_56	313	1614	310	2442	1046	972	1701	1435	3227	2444	1325	3225	3407	368	869	2492	867	1350	552	195	1634	1028	3443	1058	102	631
OTU_57	2569	982	192	2510	326	2152	1761	3051	328	3028	1694	213	81	17	537	2412	1251	1928	3017	1246	2856	2282	519	2503	1068	396
OTU_58	795	310	2652	2944	2298	1421	1245	1767	692	1100	2299	2978	1489	620	3141	2706	1199	1621	876	273	1166	1687	2442	720	1113	2070
OTU_59	2202	2591	1349	1341	2653	1452	3323	2947	3246	2999	2147	3331	2326	363	312	1334	1740	2453	2072	2775	1711	807	2132	3221	1858	1299
OTU_60	2871	150	1645	2275	1112	1111	1614	1796	236	1158	196	3106	2024	190	188	1743	923	3495	388	3353	438	470	802	2945	1775	2279
OTU_61	965	12	100	1495	2134	100	97	3066	1323	2851	2238	1220	317	753	2879	2023	798	447	816	486	125	2865	824	1977	2467	1410
OTU_62	3118	1243	1690	2714	2062	373	727	1060	3153	1765	1197	164	514	2409	1225	1855	2280	2104	2952	1157	2258	2738	483	2694	257	1501
OTU_63	2317	1956	2707	1897	2379	2136	734	525	454	313	741	3158	1918	1146	3079	528	471	1696	382	1665	7	1233	1109	874	1939	1996
OTU_64	699	1124	1824	2745	575	1827	943	2095	969	1831	187	1668	935	1732	1776	1656	1535	1857	982	593	958	2169	2109	1293	131	148
OTU_65	1634	2869	3122	2549	1641	2267	1011	1830	2708	1686	2236	2369	1293	513	2658	1887	3166	2750	3213	3680	669	2161	2531	2076	398	1831
OTU_66	46	1026	1425	3131	1658	566	2771	505	3073	663	2363	2729	2874	1370	1854	3098	1096	1548	1551	2459	835	2624	511	119	3281	957
OTU_67	731	2649	245	1485	2230	1528	2496	1018	1144	1835	2752	3117	78	3491	1951	2937	132	1089	644	2398	949	130	1106	2306	29	1960
OTU_68	2515	2563	2506	3021	2530	1141	320	2953	1615	774	3096	1854	3425	2980	3447	2446	394	8	2993	1320	2252	900	3065	51	340	645
OTU_69	1858	2774	840	2676	2974	763	730	2408	2372	2716	3396	3324	1594	2280	165	616	564	1332	1902	1309	2242	3011	1549	2912	3007	2626
OTU_70	3304	1964	2050	2736	1554	3311	493	2686	1557	1852	845	996	272	758	2394	1214	1741	2768	2453	699	2383	143	1633	2727	2096	3033
OTU_71	1717	822	2169	1404	2358	2242	2721	2952	1646	345	2435	2929	582	2079	14	2552	2142	1038	454	3216	2845	1644	1657	2683	2261	2364
OTU_72	1197	817	2728	1658	1536	3210	2145	236	2994	1039	1487	500	1165	2073	3050	2077	806	2102	51	271	2032	621	1269	1181	1893	2279
OTU_73	2957	2343	1697	199	2442	1762	2524	25	2127	1410	1173	3196	873	1642	858	1781	2570	2264	103	1978	2664	2204	2958	383	3361	2989
OTU_74	296	2355	625	211	2960	241	943	1540	3147	1593	461	270	1512	1464	2753	1281	2099	3658	38	3652	1252	2352	3544	2354	1926	752
OTU_75	1636	2279	1570	3344	2461	340	1530	157	3231	3051	1684	412	1702	184	3019	1020	1706	2232	605	1930	3140	1236	1705	3119	568	1840
OTU_76	1671	3278	3196	2632	749	2569	1078	3074	818	1365	35	2990	2537	808	26	920	974	1413	1676	1973	1453	2954	2882	3166	1951	2422
OTU_77	2762	1894	206	952	944	2258	2882	2643	2148	2544	1589	3271	1918	3068	126	142	971	3016	2324	7	385	1550	3573	2609	1723	3009
OTU_78	3108	642	2883	1015	3129	902	2447	1269	1822	2882	670	680	3486	2171	368	3488	1136	2052	1018	112	1997	1107	3151	1774	1843	1096
OTU_79	2918	3016	3290	841	2543	2797	36	2404	929	3272	1454	2309	469	456	1578	305	1312	238	351	3180	2701	2474	2095	2090	3271	2516
